Temporada,Rodada,Mandante,Visitante,Mandante Placar,Visitante Placar
2009,32,fluminense,atlético-mg,2,1
2009,32,grêmio,avaí,3,1
2009,32,palmeiras,goiás,4,0
2009,32,sport,coritiba,1,1
2009,32,são paulo,internacional,1,0
2009,32,vitória,corinthians,0,1
2009,33,avaí,athlético-pr,2,0
2009,33,coritiba,vitória,1,0
2009,33,cruzeiro,fluminense,2,3
2009,33,flamengo,santos,1,0
2009,33,goiás,atlético-mg,2,3
2009,33,internacional,botafogo-rj,0,1
2009,33,náutico,sport,3,2
2009,33,palmeiras,corinthians,2,2
2009,33,santo andré,grêmio,2,0
2009,33,são paulo,barueri,1,0
2009,34,athlético-pr,goiás,2,0
2009,34,atlético-mg,flamengo,1,3
2009,34,barueri,internacional,1,1
2009,34,botafogo-rj,coritiba,2,0
2009,34,corinthians,santo andré,2,0
2009,34,fluminense,palmeiras,1,0
2009,34,grêmio,são paulo,1,1
